i;flow;paths;time;
1;2.0;1.0;1.6384333333333335E-5;
2;3.666666666666667;2.0;8.191999999999999E-6;
3;6.333333333333334;3.666666666666666;2.0869666666666668E-5;
4;20.333333333333332;10.0;1.0083966666666667E-4;
5;37.66666666666667;16.0;3.333363333333333E-4;
6;111.66666666666667;31.666666666666664;3.2299833333333333E-4;
7;245.66666666666663;59.66666666666667;9.924016666666667E-4;
8;714.6666666666666;132.66666666666666;0.00453427;
9;981.0;115.66666666666666;0.008889389333333334;
10;3322.666666666667;281.6666666666667;0.03203675466666667;
11;6142.333333333333;365.33333333333337;0.08086534766666667;
12;11053.333333333332;398.3333333333333;0.25926822066666666;
13;26375.666666666664;643.6666666666667;0.6611888536666667;
14;61171.666666666664;951.0;1.9449300803333336;
15;131019.0;1499.0;9.018801998666666;
16;254642.0;1787.6666666666667;24.227201721333337;
