k;flow;paths;time
1;1.480000000000001;1.0000000000000007;2.916919999999995E-6
2;3.309999999999998;2.0000000000000013;4.0404400000000006E-6
3;7.379999999999993;4.459999999999997;6.126479999999995E-6
4;19.09;9.539999999999996;1.8039999999999993E-5
5;47.23999999999999;19.560000000000006;6.740841E-5
6;111.15999999999997;34.430000000000014;1.2799692999999998E-4
7;257.61999999999995;60.71000000000004;4.149070699999999E-4
8;559.9700000000003;92.17;0.00168743139
9;1301.6500000000003;153.07999999999993;0.006676404450000002
10;2797.3000000000025;226.98000000000005;0.020963727069999997
11;6055.180000000001;332.17;0.06549419098000002
12;13166.56;483.65999999999985;0.21039476943999988
13;28882.47;718.2500000000001;0.6824610367799998
14;61806.94999999998;1021.01;2.186824606339999
15;125524.70999999999;1338.3299999999997;8.289645052510004
16;277828.88999999996;2021.7799999999995;28.610132283229994
